run,epochs_logged,best_epoch,best_ap,best_ap50,best_ap75,last_epoch,last_train_loss,last_val_loss
baseline,24,11,0.594882982362261,0.9129135538732291,0.6444597555023811,23,4.929032019295618,4.9707299631995125
lr_low,36,23,0.636534355014615,0.9175586794374748,0.745484571843874,35,4.319005258420375,4.2062975200446875
lr_high,45,32,0.6347977880366314,0.9287894610508894,0.7380141653167506,44,4.405577839981199,4.182249030551395
query_50,43,40,0.6156545372276347,0.9131358035934642,0.6950411912149493,42,4.856611206893522,4.7231681862392945
query_150,33,20,0.6156383408654532,0.9140175432059708,0.6907646829720019,32,4.276864828863693,4.164771118679562
smoke_cpu,1,0,0.006670609365565668,0.022902693515542742,0.00254496471962175,0,6.878703236579895,3.9819696843624115
