epoch,train_loss,test_loss,test_class_error,ap,ap50,ap75,aps,apm,apl
0,8.082940833106715,5.690322373364423,3.748445665514147,0.47337249073712634,0.8310897072940923,0.5287775427807855,0.20531169847843397,0.49148529349933323,0.39812295375107654
1,6.354810857023868,5.47247389844946,3.7519925091717696,0.500285622441752,0.8836565406219622,0.5492160498667125,0.2621318968491511,0.5039553033362292,0.3852092377211071
2,6.117052782892556,4.876669864396791,2.4273473378774284,0.5570652709403408,0.8962693602192796,0.5985149186062998,0.3902463059843161,0.5473007783038669,0.44389304076264346
3,5.781426385435134,5.217472050641034,2.6040688592034416,0.5244308318643737,0.8755965796789802,0.5860691915297375,0.3321889287775042,0.5091248722348851,0.43059301877848494
4,5.775217788381727,4.797165793341559,2.964132566709776,0.5357701554222952,0.8869939390030372,0.5988627446639185,0.31711231489222386,0.5538959383932963,0.4360368683700741
5,5.555423747182517,4.628796970522082,3.681935284588788,0.5539537819806654,0.8761499949387891,0.6266392085993139,0.3036604714968024,0.5670177785132742,0.4791148166506854
6,5.541464773772274,4.828970264744115,1.728841833166174,0.5565242397751443,0.8937525315700081,0.6072663465539797,0.33439693713486696,0.558913846187255,0.4848114778868853
7,5.477317884954482,5.158935765962343,2.428448857487859,0.5483971790788383,0.9021134053106867,0.5907903532942986,0.34543712564138557,0.5615404725705853,0.4285055463227359
